Price,Built_Up,Furnishing,Tenure,carpark,classification
288000,818,Fully Furnished,Freehold,1,1
1270000,1733,Semi Furnished,Freehold,1,1
650000,1394,Semi Furnished,Freehold,1,1
630000,2530,Semi Furnished,Freehold,2,1
185000,650,Unfurnished,Leasehold,1,1
250000,850,Unfurnished,Freehold,1,1
625000,1300,Fully Furnished,Freehold,1,1
550000,1700,Unfurnished,Freehold,2,1
800000,1526,Unfurnished,Freehold,2,1
499000,1267,Fully Furnished,Freehold,1,1
235000,750,Unfurnished,Freehold,1,1
610000,1196,Semi Furnished,Freehold,1,1
268000,872,Unfurnished,Freehold,1,0
540000,2000,Semi Furnished,Freehold,2,1
310000,911,Unfurnished,Freehold,1,1
450000,1100,Unfurnished,Freehold,2,1
245000,816,Semi Furnished,Freehold,1,1
500000,1900,Unfurnished,Freehold,2,1
927000,2699,Unfurnished,Freehold,1,1
698000,1100,Unfurnished,Freehold,1,1
590000,1976,Semi Furnished,Freehold,2,1
210000,910,Unfurnished,Freehold,1,1
550000,836,Semi Furnished,Freehold,1,1
190000,650,Unfurnished,Freehold,1,0
1100000,917,Semi Furnished,Freehold,1,1
638000,947,Fully Furnished,Freehold,1,1
340000,927,Semi Furnished,Freehold,1,1
598000,940,Unfurnished,Freehold,1,1
450000,1000,Fully Furnished,Freehold,1,1
570000,1540,Unfurnished,Freehold,2,1
860000,1238,Semi Furnished,Freehold,1,1
445000,2448,Semi Furnished,Freehold,2,1
360000,2100,Unfurnished,Freehold,2,1
660000,814,Semi Furnished,Leasehold,1,1
370000,1127,Semi Furnished,Leasehold,1,1
235000,1000,Unfurnished,Freehold,1,1
630000,2408,Unfurnished,Freehold,2,1
145000,600,Semi Furnished,Leasehold,1,1
460000,1800,Unfurnished,Freehold,2,1
395000,1170,Semi Furnished,Freehold,2,1
560000,1100,Fully Furnished,Freehold,1,1
795000,1800,Semi Furnished,Freehold,1,1
460000,935,Fully Furnished,Freehold,1,0
199000,735,Semi Furnished,Freehold,1,1
520000,1800,Unfurnished,Freehold,2,1
670000,1722,Semi Furnished,Freehold,2,1
468825,658,Semi Furnished,Freehold,1,1
985000,2349,Semi Furnished,Freehold,2,1
1880000,2535,Fully Furnished,Freehold,1,1
330000,1300,Semi Furnished,Freehold,2,1
590000,1276,Semi Furnished,Freehold,1,1
430000,926,Semi Furnished,Freehold,1,1
810000,3100,Unfurnished,Freehold,2,1
495000,1245,Fully Furnished,Freehold,1,1
180000,650,Semi Furnished,Freehold,1,1
150000,650,Unfurnished,Freehold,1,1
1000000,1150,Semi Furnished,Freehold,1,0
498000,2000,Semi Furnished,Freehold,2,1
420000,1088,Fully Furnished,Freehold,1,1
330000,1008,Fully Furnished,Freehold,1,1
917230,721,Semi Furnished,Freehold,1,1
620000,1019,Fully Furnished,Freehold,1,1
735000,1778,Unfurnished,Leasehold,1,1
199000,735,Semi Furnished,Freehold,1,1
940000,1800,Fully Furnished,Freehold,1,1
900000,1870,Semi Furnished,Freehold,2,1
645000,1600,Unfurnished,Freehold,2,1
580000,1600,Unfurnished,Freehold,2,1
570000,2000,Semi Furnished,Freehold,2,1
750000,2566,Unfurnished,Freehold,2,1
388000,637,Fully Furnished,Freehold,1,1
377800,850,Unfurnished,Freehold,1,1
535000,1801,Semi Furnished,Freehold,2,1
470000,1800,Semi Furnished,Leasehold,2,1
930000,2900,Semi Furnished,Freehold,2,1
850000,1976,Semi Furnished,Freehold,2,1
758000,1800,Semi Furnished,Freehold,2,1
290000,1000,Semi Furnished,Freehold,2,1
306888,926,Semi Furnished,Freehold,1,1
600000,610000,Fully Furnished,Freehold,1,1
380000,600,Unfurnished,Leasehold,2,1
778800,708,Fully Furnished,Freehold,1,1
620000,1600,Semi Furnished,Freehold,2,1
538000,1862,Semi Furnished,Freehold,2,1
510000,1175,Semi Furnished,Freehold,1,1
500000,601,Unfurnished,Freehold,1,1
350000,700,Fully Furnished,Freehold,1,1
350000,985,Semi Furnished,Freehold,1,1
450000,850,Unfurnished,Freehold,1,1
970000,3311,Unfurnished,Freehold,2,0
350000,800,Fully Furnished,Freehold,1,1
280000,900,Semi Furnished,Freehold,1,1
518000,979,Fully Furnished,Leasehold,1,0
620000,1900,Semi Furnished,Freehold,2,1
1000000,1428,Fully Furnished,Freehold,1,1
720000,1200,Semi Furnished,Freehold,2,1
520000,1230,Semi Furnished,Freehold,2,1
690000,990,Semi Furnished,Freehold,1,1
665000,1500,Semi Furnished,Freehold,2,1
600000,2143,Unfurnished,Freehold,2,1
580000,935,Fully Furnished,Freehold,1,1
537900,1090,Semi Furnished,Freehold,1,1
370000,1400,Unfurnished,Leasehold,2,1
800000,1816,Semi Furnished,Leasehold,1,1
950000,797,Fully Furnished,Freehold,1,1
568000,1257,Fully Furnished,Freehold,1,1
650000,2161,Unfurnished,Freehold,2,1
700000,1441,Semi Furnished,Freehold,1,1
950000,3850,Semi Furnished,Freehold,2,1
430000,820,Fully Furnished,Freehold,1,1
360000,1505,Unfurnished,Freehold,2,1
388000,1650,Semi Furnished,Freehold,2,1
472500,2128,Unfurnished,Freehold,2,1
723120,1236,Semi Furnished,Freehold,1,1
880000,2278,Unfurnished,Freehold,2,1
385000,650,Unfurnished,Freehold,1,1
516000,1061,Unfurnished,Freehold,2,1
620000,1231,Unfurnished,Leasehold,1,1
330000,1345,Unfurnished,Freehold,2,1
458000,1400,Semi Furnished,Freehold,1,1
235000,900,Unfurnished,Freehold,2,1
450000,1147,Semi Furnished,Freehold,1,1
725000,1037,Semi Furnished,Freehold,1,1
595000,1655,Semi Furnished,Freehold,1,1
233000,715,Semi Furnished,Freehold,1,1
220000,650,Unfurnished,Freehold,1,1
415000,1840,Semi Furnished,Freehold,2,1
408000,1200,Semi Furnished,Freehold,2,1
372000,2380,Semi Furnished,Freehold,2,0
1113600,800,Fully Furnished,Freehold,1,1
1290000,2771,Unfurnished,Freehold,3,1
778800,708,Fully Furnished,Freehold,1,1
900000,2240,Unfurnished,Freehold,2,1
418000,1308,Semi Furnished,Freehold,1,1
220000,820,Unfurnished,Freehold,1,1
260000,925,Unfurnished,Freehold,1,1
240000,827,Unfurnished,Freehold,1,0
700000,2740,Unfurnished,Freehold,2,1
400000,1000,Fully Furnished,Freehold,2,1
498000,1750,Unfurnished,Freehold,2,1
300000,1800,Unfurnished,Freehold,2,1
320000,950,Semi Furnished,Freehold,1,1
568000,1635,Fully Furnished,Leasehold,1,1
320000,860,Unfurnished,Freehold,1,1
1008000,1001,Semi Furnished,Freehold,1,1
800000,1700,Semi Furnished,Leasehold,2,1
700000,1860,Unfurnished,Freehold,2,1
375000,750,Unfurnished,Freehold,1,1
375000,1302,Unfurnished,Freehold,2,1
390000,1200,Semi Furnished,Leasehold,2,1
470000,1210,Semi Furnished,Leasehold,1,1
